Year,SA2_code_2016,SA2_code_2016,Population,Population density,Population growth (1 year),Population increase (1 year),Population growth (5 years),Natural increase,Net regional migration,Net overseas migration,Natural increase (ratio to population at start of year),Net regional migration (ratio to population at start of year),Net overseas migration (ratio to population at start of year)
2017,120031394,Dulwich Hill - Lewisham,17904,6627.2,1.5,268,5.910921583,134,-129,263,0.759809481,-0.731458381,1.491267861
2017,120031395,Haberfield - Summer Hill,14231,4095.7,0.7,102,1.338774341,43,-136,195,0.304338594,-0.962559275,1.380140137
2017,120031396,Homebush,17810,4633.9,4.2,724,30.50054805,302,-238,660,1.767528971,-1.392953295,3.862811659
2017,120031575,Strathfield,26813,4156.1,2.3,601,9.820919821,97,-493,997,0.370059515,-1.880817946,3.803601404
2017,120031576,Strathfield South,3775,1503.3,2.2,83,10.5369515,24,-1,60,0.650054171,-0.02708559,1.625135428
2017,121011398,Chatswood (East) - Artarmon,30778,6073.2,2.6,782,17.6300578,277,-323,828,0.923456461,-1.076810241,2.760368049
2017,121011399,Chatswood (West) - Lane Cove North,22776,4113.3,3.2,711,16.25385406,235,54,422,1.065035123,0.244731475,1.912531158
2017,121011400,Lane Cove - Greenwich,28619,3160.2,2.4,659,11.46348107,177,184,298,0.63304721,0.658082976,1.065808298
2017,121011401,St Leonards - Naremburn,11400,4128.9,3,335,14.9989994,161,-18,192,1.455038409,-0.162675102,1.735201085
2017,121011402,Willoughby - Castle Cove - Northbridge,26858,2498,0.4,120,3.634888752,90,-205,235,0.336599596,-0.76669908,0.878898945
2017,121021403,Asquith - Mount Colah,19107,550.9,1.1,212,3.1418992,137,-69,144,0.72505954,-0.365175972,0.762106377
2017,121021404,Berowra - Brooklyn - Cowan,12081,147.8,0.3,36,1.541831662,63,-84,57,0.523038605,-0.697384807,0.473225405
2017,121021406,Normanhurst - Thornleigh - Westleigh,19161,1918.4,0.1,20,1.833935786,38,-175,157,0.198526723,-0.914267802,0.820228828
2017,121021577,Hornsby - East,12568,4892.4,2.1,256,10.0885266,168,-295,383,1.364522417,-2.396036387,3.110786225
2017,121021578,Hornsby - West,11215,1783,1.2,131,5.826341096,65,-105,171,0.586430891,-0.94731144,1.542764345
2017,121021579,Waitara - Wahroonga (West),10394,4920.7,4.2,415,13.61786382,27,53,335,0.270568193,0.531115342,3.357049805
2017,121031407,Gordon - Killara,22735,1947.9,2,438,11.39819873,-12,77,373,-0.053818899,0.345337938,1.67287079
2017,121031408,Lindfield - Roseville,24556,2067.6,1.9,458,9.217306326,87,28,343,0.361025811,0.116192215,1.423354635
2017,121031409,Pymble,17217,1679.5,0.9,161,3.83315224,78,-89,172,0.457317073,-0.521810507,1.008442777
2017,121031410,St Ives,21926,1233.3,1.9,414,8.660942913,75,102,237,0.348642618,0.474153961,1.101710673
2017,121031411,Turramurra,19956,966.7,0.5,96,5.070452045,-85,36,145,-0.427995972,0.181268882,0.730110775
2017,121031412,Wahroonga (East) - Warrawee,18797,1410.4,0.8,146,2.06892767,47,-28,127,0.251997212,-0.150125999,0.680928637
2017,121041413,Cremorne - Cammeray,20508,6331.4,1.1,227,4.894853206,228,-279,278,1.124204921,-1.375671811,1.370741088
2017,121041414,Crows Nest - Waverton,19347,6533.5,1.2,222,7.450413912,288,-336,270,1.505882353,-1.756862745,1.411764706
2017,121041415,Mosman,30465,3521.8,0.8,250,3.673552458,111,-257,396,0.367367202,-0.850570908,1.310607314
2017,121041416,Neutral Bay - Kirribilli,19205,8687.7,0.8,153,6.343961672,118,-290,325,0.619357548,-1.522149906,1.705857653
2017,121041417,North Sydney - Lavender Bay,11819,6173.7,3,340,12.18138425,126,-57,271,1.09765659,-0.496558934,2.360832825
2017,122011418,Balgowlah - Clontarf - Seaforth,21485,2823.1,0.8,160,3.933898801,158,-168,170,0.74091442,-0.787807737,0.797186401
2017,122011419,Manly - Fairlight,24022,3566.7,1.5,353,6.240352811,271,-434,516,1.144957539,-1.833622037,2.180066754
2017,122021420,Avalon - Palm Beach,13134,1526.2,0.2,25,0.061562139,7,-79,97,0.053398429,-0.602639408,0.739949653
2017,122021421,Bayview - Elanora Heights,11357,175.9,0.6,68,2.999724796,-1,-2,71,-0.008858181,-0.017716361,0.628930818
2017,122021422,Newport - Bilgola,13935,2403.4,0.1,8,1.412449945,57,-153,104,0.409276944,-1.098585481,0.746750915
2017,122021423,Warriewood - Mona Vale,25557,2191.3,1.5,378,10.18741403,42,87,249,0.166805671,0.345526034,0.988919338
2017,122031424,Beacon Hill - Narraweena,14623,3368.9,1.4,195,6.396866841,54,-39,180,0.374272248,-0.270307735,1.247574161
2017,122031425,Cromer,7855,1048.5,1.2,94,4.162262156,47,-18,65,0.605592063,-0.231928875,0.837520938
2017,122031426,Dee Why - North Curl Curl,26829,6586.7,1.8,475,9.126514626,308,-394,561,1.168703043,-1.495029218,2.128709114
2017,122031427,Forestville - Killarney Heights,13405,1500.9,0.6,79,3.052078504,5,-88,162,0.037520636,-0.6603632,1.215668618
2017,122031428,Frenchs Forest - Belrose,26523,880.2,0.6,157,2.846626728,21,-64,200,0.079648032,-0.242736858,0.758552681
2017,122031429,Freshwater - Brookvale,22725,3163.4,1.8,395,8.480684221,232,-184,347,1.038961039,-0.824003583,1.553963278
2017,122031430,Manly Vale - Allambie Heights,17831,1906.2,1.3,230,6.409875957,92,-62,200,0.522697574,-0.352252713,1.136299074
2017,122031431,Narrabeen - Collaroy,26301,3672.2,1.5,398,7.977454127,-44,149,293,-0.169864494,0.575222947,1.131143111
2017,122031432,Terrey Hills - Duffys Forest,3796,53.8,0.5,19,2.421959096,-16,5,30,-0.423616627,0.132380196,0.794281176
2017,123011433,Camden - Ellis Lane,13399,511.5,0.9,122,5.01646026,-53,125,50,-0.399186563,0.941477743,0.376591097
2017,123011434,Elderslie - Harrington Park,22914,1063.7,5.6,1214,32.11051776,244,867,103,1.124423963,3.995391705,0.474654378
2017,123011435,Mount Annan - Currans Hill,30374,1162.2,3.9,1139,20.56740395,410,616,113,1.402428596,2.107063451,0.386523003
2017,123021436,Bradbury - Wedderburn,19620,535.3,0.7,136,-0.18276895,208,-183,111,1.067542599,-0.939232191,0.569698214
2017,123021437,Campbelltown - Woodbine,19339,1406.7,4,735,17.32506323,143,350,242,0.768651903,1.881315846,1.300795528
2017,123021438,Claymore - Eagle Vale - Raby,20971,915.1,-0.1,-18,-2.96956199,193,-299,88,0.919529277,-1.42455572,0.419267235
2017,123021439,Holsworthy Military Area,0,0,0,0,0,0,0,0,0,0,0
2017,123021440,Ingleburn - Denham Court,21757,703.7,5.2,1082,23.28341339,214,570,298,1.035066505,2.756952842,1.441354293
2017,123021441,Leumeah - Minto Heights,17032,720.3,0.6,98,3.061594203,162,-200,136,0.95665525,-1.181055864,0.803117987
2017,123021442,Macquarie Fields - Glenfield,24556,1533,1.2,297,11.28163339,121,-119,295,0.498783956,-0.490539594,1.21604353
2017,123021443,Minto - St Andrews,21039,1694.9,3.2,651,14.48585493,171,242,238,0.838728664,1.186972729,1.167353345
2017,123021444,Rosemeadow - Glen Alpine,21497,447.1,-0.1,-15,1.599086236,102,-253,136,0.474153961,-1.176087765,0.632205281
2017,123031445,Bargo,5907,87.2,0.8,46,5.508702674,30,13,3,0.511858045,0.221805153,0.051185804
2017,123031446,Douglas Park - Appin,10468,36.1,4.8,483,34.7179089,79,372,32,0.79118678,3.725588383,0.320480721
2017,123031447,Picton - Tahmoor - Buxton,17440,91.8,1.7,291,9.118105329,89,165,37,0.518980699,0.962155228,0.215756021
2017,123031448,The Oaks - Oakdale,9389,29.1,1.8,169,5.953311739,48,86,35,0.520607375,0.932754881,0.379609544
2017,124011449,Blackheath - Megalong Valley,5654,40.6,-0.1,-5,1.181241185,11,-55,39,0.194380633,-0.971903163,0.689167697
2017,124011450,Blaxland - Warrimoo - Lapstone,19401,653.4,0.1,28,1.850883614,127,-177,78,0.655551541,-0.913642699,0.402622206
2017,124011451,Blue Mountains - North,13,0,0,0,-45.83333333,0,0,0,0,0,0
2017,124011452,Katoomba - Leura,13718,335.6,0.8,105,1.74734181,-85,77,113,-0.624403144,0.565635789,0.830088886
2017,124011453,Lawson - Hazelbrook - Linden,11473,244.7,0.2,21,0.891842266,57,-66,30,0.497729654,-0.576318547,0.261962976
2017,124011454,Springwood - Winmalee,22107,317.3,-0.1,-31,-1.368824683,-17,-78,64,-0.076791038,-0.352335351,0.289095673
